1/10/2026, deposit, 100.00
1/11/2026, withdrawal, 50.00
1/12/2026, deposit, 75.00
1/13/2026, withdrawal, 25.00
1/14/2026, deposit, 24.00
1/15/2026, withdrawal, 10.00
1/16/2026, deposit, 50.00
1/17/2026, withdrawal, 30.00
1/18/2026, deposit, 120.00
1/19/2026, withdrawal, 45.00
1/20/2026, deposit, 85.00
1/21/2026, withdrawal, 15.00
1/22/2026, deposit, 60.00
1/23/2026, withdrawal, 35.00
1/24/2026, deposit, 95.00
1/25/2026, withdrawal, 20.00
1/26/2026, deposit, 110.00
1/27/2026, withdrawal, 55.00
1/28/2026, deposit, 70.00
1/29/2026, withdrawal, 40.00
1/30/2026, deposit, 80.00
1/31/2026, withdrawal, 25.00
2/1/2026, deposit, 90.00
2/2/2026, withdrawal, 30.00
2/3/2026, deposit, 105.00
2/4/2026, withdrawal, 50.00
2/5/2026, deposit, 65.00
4/15/2026, withdrawal, 100.00
4/15/2026, deposit, 1200.00
4/15/2026, deposit, 200.00
